0_RfR 0,0_RfR 1,1_RfR 0,1_RfR 1,2_RfR 0,2_RfR 1,3_RfR 0,3_RfR 1,4_RfR 0,4_RfR 1,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.4_Total Costs,A.4_Dike Investment Costs,A.4_Expected Annual Damage,A.4_Expected Number of Deaths,A.5_Total Costs,A.5_Dike Investment Costs,A.5_Expected Annual Damage,A.5_Expected Number of Deaths,RfR Total Costs,Expected Evacuation Costs,Overijssel_Deaths,Overijssel_Damages,Overijssel_Investment,Overijssel_RfR_num
0,1,0,0,0,0,1,1,0,1,3,0,5,3,1,1,0,3,0,0,1,55219563.79482178,8453407.696608048,46766156.09821373,0.002863133334373,25037214.086173728,25037214.086173728,0.0,0.0,583100000.0,4904.095067179009,0.002863133334373,46766156.09821373,33490621.782781776,1
0,1,0,0,0,0,1,1,0,0,3,0,5,0,1,0,3,0,0,0,1,61662599.49280907,0.0,61662599.49280907,0.0036698381651896,25037214.086173728,25037214.086173728,0.0,0.0,327000000.0,6936.626704536928,0.0036698381651896,61662599.49280907,25037214.086173728,1
0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,3,1,5,0,4,1,76341914.60551725,11068771.68625446,65273142.9192628,0.0043773051114127,62015940.60605301,62015940.60605301,0.0,0.0,0.0,8110.699632213914,0.0043773051114127,65273142.9192628,73084712.29230747,0
0,1,1,0,0,1,1,1,1,1,2,0,2,0,0,5,2,3,0,4,5,49223474.12239581,8453407.696608048,40770066.42578776,0.0029617610408261,75329742.05586098,75329742.05586098,0.0,0.0,1087700000.0,4128.068453513621,0.0029617610408261,40770066.42578776,83783149.75246903,2
0,1,0,0,0,0,0,1,0,0,3,1,5,0,2,1,3,5,0,1,0,70096045.97018622,11068771.68625446,59027274.28393176,0.0038672535647669,25037214.086173728,25037214.086173728,0.0,0.0,205800000.0,6537.454193320259,0.0038672535647669,59027274.28393176,36105985.772428185,0
0,0,1,0,0,0,0,1,0,0,3,2,2,0,2,1,3,5,0,0,0,70096045.97018622,11068771.68625446,59027274.28393176,0.0038672535647669,0.0,0.0,0.0,0.0,339000000.0,6537.454193320259,0.0038672535647669,59027274.28393176,11068771.68625446,0
1,0,0,0,1,1,1,1,0,1,2,0,5,0,0,1,2,1,0,3,2,62467851.6731796,6320800.309666242,56147051.36351335,0.0040259385773553,60854576.45659251,60854576.45659251,0.0,0.0,644500000.0,5004.821126586695,0.0040259385773553,56147051.36351335,67175376.76625875,1
0,0,0,0,0,1,1,1,1,1,3,1,2,2,2,4,5,1,0,0,0,56871883.72187676,6320800.309666242,50551083.41221052,0.0027706840291343,0.0,0.0,0.0,0.0,785300000.0,5096.4675625268,0.0027706840291343,50551083.41221052,6320800.309666242,2
0,0,0,0,0,0,1,1,0,1,3,5,5,0,1,0,1,0,1,0,0,62244126.42264791,6320800.309666242,55923326.11298167,0.0032007109005482,0.0,0.0,0.0,0.0,498500000.0,6438.599735071446,0.0032007109005482,55923326.11298167,6320800.309666242,1
0,0,0,0,0,1,1,0,0,0,3,0,0,2,2,3,4,0,0,0,0,71274669.4424728,0.0,71274669.4424728,0.0044806388641007,0.0,0.0,0.0,0.0,151900000.0,6990.62733605221,0.0044806388641007,71274669.4424728,0.0,1
0,1,0,1,0,1,1,1,1,1,2,1,2,3,3,1,3,1,0,0,0,56871883.72187676,6320800.309666242,50551083.41221052,0.0034633550364179,0.0,0.0,0.0,0.0,1087700000.0,4102.27029180661,0.0034633550364179,50551083.41221052,6320800.309666242,2
